test_id,proof_level,pytest_selectors,evidence_files,qualification_scope,rationale
TST-REQ-0003,partial,,src/openinfra/application/licensing_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0004,partial,,src/openinfra/infrastructure/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0005,partial,,src/openinfra/infrastructure/postgresql.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0006,partial,,src/openinfra/infrastructure/oracle.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0007,partial,,src/openinfra/interfaces/cli.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0008,external,,src/openinfra/interfaces/http_api.py,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0009,partial,,src/openinfra/domain/editions.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0010,partial,,src/openinfra/domain/security.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0011,partial,,src/openinfra/application/security_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0012,partial,,src/openinfra/application/source_of_truth_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0013,partial,,src/openinfra/application/rsot_quality_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0014,partial,,src/openinfra/quality/offline_licensing_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0015,partial,,src/openinfra/quality/rsot_canonical_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0016,partial,,src/openinfra/quality/contract_completeness_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0017,partial,,installers/setup/installer_runtime.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0018,partial,,installers/migrations/postgresql/0059_runtime_offline_licensing.sql,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0019,partial,,installers/migrations/oracle/0059_runtime_offline_licensing.sql,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0020,partial,,docs/api/openapi.yaml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0021,partial,,docs/runbooks/OFFLINE_RUNTIME_LICENSING.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0022,partial,,docs/runbooks/RSOT_CANONICAL_MIGRATION.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0023,partial,,docs/runbooks/CONTRACT_COMPLETENESS_PROMOTION.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0024,partial,,docs/release/offline-runtime-licensing-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0025,partial,,docs/release/rsot-canonical-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0026,partial,,docs/release/contract-completeness-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0027,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Exigences.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0028,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Tests.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0029,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Traceabilite.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0030,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Matrice-completude-contractuelle-v4.12.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0031,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/02-roadmap-phases.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0032,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/03-roadmap-releases.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0033,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/04-roadmap-epics.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0034,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/07-roadmap-go-nogo.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0035,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/09-roadmap-tests-validation.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0036,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/14-alignement-cdc-v4.12.0.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0037,partial,,.github/workflows/offline-runtime-licensing.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0038,partial,,.github/workflows/rsot-canonical.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0039,partial,,.github/workflows/contract-completeness.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0040,partial,,scripts/quality_gate.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0041,partial,,scripts/verify_artifact.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0042,partial,,scripts/smoke_installed_wheel.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0043,partial,,scripts/validate_autonomous_installer.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0044,partial,,README.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0045,partial,,tests/unit/test_runtime_offline_licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0046,partial,,tests/integration/test_runtime_offline_licensing_interfaces.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0047,partial,,tests/integration/test_autonomous_installers.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0048,partial,,tests/integration/test_runtime_offline_licensing_migration.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0049,partial,,tests/integration/test_runtime_offline_licensing_frontend.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0050,partial,,tests/unit/test_gate12_qualification.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0051,partial,,tests/integration/test_runtime_offline_licensing_specifications.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0052,partial,,tests/integration/test_runtime_offline_licensing_postgresql_repository.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0053,partial,,tests/integration/test_rsot_canonical_contract.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0054,partial,,tests/unit/test_gate14_qualification.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0055,partial,,tests/integration/test_contract_completeness_specifications.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0056,partial,,src/openinfra/domain/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0057,partial,,src/openinfra/application/licensing_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0058,partial,,src/openinfra/infrastructure/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0059,partial,,src/openinfra/infrastructure/postgresql.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0060,partial,,src/openinfra/infrastructure/oracle.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0061,partial,,src/openinfra/interfaces/cli.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0062,partial,,src/openinfra/interfaces/http_api.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0063,partial,,src/openinfra/domain/editions.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0064,partial,,src/openinfra/domain/security.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0065,partial,,src/openinfra/application/security_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0066,partial,,src/openinfra/application/source_of_truth_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0067,partial,,src/openinfra/application/rsot_quality_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0068,partial,,src/openinfra/quality/offline_licensing_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0069,partial,,src/openinfra/quality/rsot_canonical_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0070,partial,,src/openinfra/quality/contract_completeness_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0071,partial,,installers/setup/installer_runtime.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0072,partial,,installers/migrations/postgresql/0059_runtime_offline_licensing.sql,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0073,partial,,installers/migrations/oracle/0059_runtime_offline_licensing.sql,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0074,partial,,docs/api/openapi.yaml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0075,partial,,docs/runbooks/OFFLINE_RUNTIME_LICENSING.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0076,partial,,docs/runbooks/RSOT_CANONICAL_MIGRATION.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0077,partial,,docs/runbooks/CONTRACT_COMPLETENESS_PROMOTION.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0078,partial,,docs/release/offline-runtime-licensing-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0079,partial,,docs/release/rsot-canonical-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0080,partial,,docs/release/contract-completeness-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0081,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Exigences.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0082,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Tests.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0083,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Traceabilite.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0084,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Matrice-completude-contractuelle-v4.12.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0085,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/02-roadmap-phases.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0086,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/03-roadmap-releases.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0087,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/04-roadmap-epics.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0088,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/07-roadmap-go-nogo.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0089,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/09-roadmap-tests-validation.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0090,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/14-alignement-cdc-v4.12.0.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0091,partial,,.github/workflows/offline-runtime-licensing.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0092,partial,,.github/workflows/rsot-canonical.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0093,partial,,.github/workflows/contract-completeness.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0094,partial,,scripts/quality_gate.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0095,partial,,scripts/verify_artifact.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0096,partial,,scripts/smoke_installed_wheel.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0097,partial,,scripts/validate_autonomous_installer.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0098,partial,,README.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0099,partial,,tests/unit/test_runtime_offline_licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0100,partial,,tests/integration/test_runtime_offline_licensing_interfaces.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0101,partial,,tests/integration/test_autonomous_installers.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0102,partial,,tests/integration/test_runtime_offline_licensing_migration.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0103,partial,,tests/integration/test_runtime_offline_licensing_frontend.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0104,partial,,tests/unit/test_gate12_qualification.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0105,partial,,tests/integration/test_runtime_offline_licensing_specifications.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0106,partial,,tests/integration/test_runtime_offline_licensing_postgresql_repository.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0107,partial,,tests/integration/test_rsot_canonical_contract.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0108,partial,,tests/unit/test_gate14_qualification.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0109,partial,,tests/integration/test_contract_completeness_specifications.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0110,partial,,src/openinfra/domain/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0111,partial,,src/openinfra/application/licensing_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0112,partial,,src/openinfra/infrastructure/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0113,partial,,src/openinfra/infrastructure/postgresql.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0114,partial,,src/openinfra/infrastructure/oracle.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0115,partial,,src/openinfra/interfaces/cli.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0116,partial,,src/openinfra/interfaces/http_api.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0117,partial,,src/openinfra/domain/editions.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0118,partial,,src/openinfra/domain/security.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0119,partial,,src/openinfra/application/security_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0120,partial,,src/openinfra/application/source_of_truth_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0309,partial,,src/openinfra/application/rsot_quality_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0310,partial,,src/openinfra/quality/offline_licensing_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0311,partial,,src/openinfra/quality/rsot_canonical_promotion.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0312,external,,src/openinfra/quality/contract_completeness_promotion.py,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0313,partial,,installers/setup/installer_runtime.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0314,partial,,installers/migrations/postgresql/0059_runtime_offline_licensing.sql,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0315,partial,,installers/migrations/oracle/0059_runtime_offline_licensing.sql,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0316,external,,docs/api/openapi.yaml,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0317,partial,,docs/runbooks/OFFLINE_RUNTIME_LICENSING.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0318,partial,,docs/runbooks/RSOT_CANONICAL_MIGRATION.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0319,partial,,docs/runbooks/CONTRACT_COMPLETENESS_PROMOTION.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0320,partial,,docs/release/offline-runtime-licensing-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0321,partial,,docs/release/rsot-canonical-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0322,partial,,docs/release/contract-completeness-promotion-policy.json,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0323,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Exigences.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0324,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Tests.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0325,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Traceabilite.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0326,partial,,docs/specifications/OpenInfra-CDC-SFG-STG-v4.12.0/11-Matrices/Matrice-completude-contractuelle-v4.12.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0327,external,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/02-roadmap-phases.csv,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0328,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/03-roadmap-releases.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0329,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/04-roadmap-epics.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0330,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/07-roadmap-go-nogo.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0331,external,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/09-roadmap-tests-validation.csv,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0332,partial,,docs/specifications/OpenInfra-Roadmap-Developpement-v2.5/14-alignement-cdc-v4.12.0.csv,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0333,partial,,.github/workflows/offline-runtime-licensing.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0334,partial,,.github/workflows/rsot-canonical.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0335,partial,,.github/workflows/contract-completeness.yml,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0336,partial,,scripts/quality_gate.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0337,partial,,scripts/verify_artifact.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0338,partial,,scripts/smoke_installed_wheel.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0339,partial,,scripts/validate_autonomous_installer.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0340,partial,,README.md,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0341,partial,,tests/unit/test_runtime_offline_licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0342,external,,tests/integration/test_runtime_offline_licensing_interfaces.py,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0343,partial,,tests/integration/test_autonomous_installers.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0344,partial,,tests/integration/test_runtime_offline_licensing_migration.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0345,partial,,tests/integration/test_runtime_offline_licensing_frontend.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0346,external,,tests/unit/test_gate12_qualification.py,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0347,partial,,tests/integration/test_runtime_offline_licensing_specifications.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0348,partial,,tests/integration/test_runtime_offline_licensing_postgresql_repository.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0349,partial,,tests/integration/test_rsot_canonical_contract.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0350,partial,,tests/unit/test_gate14_qualification.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0351,partial,,tests/integration/test_contract_completeness_specifications.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0352,partial,,src/openinfra/domain/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0353,partial,,src/openinfra/application/licensing_services.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0354,partial,,src/openinfra/infrastructure/licensing.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0355,partial,,src/openinfra/infrastructure/postgresql.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0356,partial,,src/openinfra/infrastructure/oracle.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0357,external,,src/openinfra/interfaces/cli.py,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-REQ-0358,partial,,src/openinfra/interfaces/http_api.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
TST-REQ-0359,partial,,src/openinfra/domain/editions.py,,Preuve statique ou ciblée existante ; l’acceptation contractuelle complète reste distincte.
